Time: 0m0s - Junction Junction C: 1 cars through from North, 9 cars waiting. 
Time: 2m25s - Junction Junction C: 58 cars through from South, 2 cars waiting. 
Time: 2m25s - Junction Junction C: 59 cars through from South, 1 cars waiting. 
Time: 2m25s - Junction Junction C: 60 cars through from South, 0 cars waiting. 
Time: 2m34s - Junction Junction C: 1 cars through from North, 59 cars waiting. 
Time: 2m34s - Junction Junction C: 2 cars through from North, 58 cars waiting. 
Time: 2m35s - Junction Junction C: 3 cars through from North, 57 cars waiting. 
Time: 2m35s - Junction Junction C: 4 cars through from North, 56 cars waiting. 
Time: 2m35s - Junction Junction C: 5 cars through from North, 55 cars waiting. 
Time: 2m35s - Junction Junction C: 6 cars through from North, 54 cars waiting. 
Time: 2m35s - Junction Junction C: 7 cars through from North, 53 cars waiting. 
Time: 2m36s - Junction Junction C: 8 cars through from North, 52 cars waiting. 
Time: 2m36s - Junction Junction C: 9 cars through from North, 51 cars waiting. 
Time: 2m36s - Junction Junction C: 10 cars through from North, 50 cars waiting. 
Time: 2m36s - Junction Junction C: 11 cars through from North, 49 cars waiting. 
Time: 2m37s - Junction Junction C: 12 cars through from North, 48 cars waiting. 
Time: 2m37s - Junction Junction C: 13 cars through from North, 47 cars waiting. 
Time: 2m37s - Junction Junction C: 14 cars through from North, 46 cars waiting. 
Time: 2m38s - Junction Junction C: 15 cars through from North, 45 cars waiting. 
Time: 2m38s - Junction Junction C: 16 cars through from North, 44 cars waiting. 
Time: 2m38s - Junction Junction C: 17 cars through from North, 43 cars waiting. 
Time: 2m39s - Junction Junction C: 18 cars through from North, 42 cars waiting. 
Time: 2m39s - Junction Junction C: 19 cars through from North, 41 cars waiting. 
Time: 2m39s - Junction Junction C: 20 cars through from North, 40 cars waiting. 
Time: 2m39s - Junction Junction C: 21 cars through from North, 39 cars waiting. 
Time: 2m40s - Junction Junction C: 22 cars through from North, 38 cars waiting. 
Time: 2m40s - Junction Junction C: 23 cars through from North, 37 cars waiting. 
Time: 2m40s - Junction Junction C: 24 cars through from North, 36 cars waiting. 
Time: 2m41s - Junction Junction C: 25 cars through from North, 35 cars waiting. 
Time: 2m41s - Junction Junction C: 26 cars through from North, 34 cars waiting. 
Time: 2m41s - Junction Junction C: 27 cars through from North, 33 cars waiting. 
Time: 2m42s - Junction Junction C: 28 cars through from North, 32 cars waiting. 
Time: 2m42s - Junction Junction C: 29 cars through from North, 31 cars waiting. 
Time: 2m42s - Junction Junction C: 30 cars through from North, 30 cars waiting. 
Time: 2m42s - Junction Junction C: 31 cars through from North, 29 cars waiting. 
Time: 2m43s - Junction Junction C: 32 cars through from North, 28 cars waiting. 
Time: 2m43s - Junction Junction C: 33 cars through from North, 27 cars waiting. 
Time: 2m43s - Junction Junction C: 34 cars through from North, 26 cars waiting. 
Time: 2m44s - Junction Junction C: 35 cars through from North, 25 cars waiting. 
Time: 2m44s - Junction Junction C: 36 cars through from North, 24 cars waiting. 
Time: 2m44s - Junction Junction C: 37 cars through from North, 23 cars waiting. 
Time: 2m44s - Junction Junction C: 38 cars through from North, 22 cars waiting. 
Time: 2m45s - Junction Junction C: 39 cars through from North, 21 cars waiting. 
Time: 2m45s - Junction Junction C: 40 cars through from North, 20 cars waiting. 
Time: 2m45s - Junction Junction C: 41 cars through from North, 19 cars waiting. 
Time: 2m45s - Junction Junction C: 42 cars through from North, 18 cars waiting. 
Time: 2m46s - Junction Junction C: 43 cars through from North, 17 cars waiting. 
Time: 2m46s - Junction Junction C: 44 cars through from North, 16 cars waiting. 
Time: 2m46s - Junction Junction C: 45 cars through from North, 15 cars waiting. 
Time: 2m46s - Junction Junction C: 46 cars through from North, 14 cars waiting. 
Time: 2m46s - Junction Junction C: 47 cars through from North, 13 cars waiting. 
Time: 2m47s - Junction Junction C: 48 cars through from North, 12 cars waiting. 
Time: 2m47s - Junction Junction C: 49 cars through from North, 11 cars waiting. 
Time: 2m47s - Junction Junction C: 50 cars through from North, 10 cars waiting. 
Time: 2m47s - Junction Junction C: 51 cars through from North, 9 cars waiting. 
Time: 2m47s - Junction Junction C: 52 cars through from North, 8 cars waiting. 
Time: 2m48s - Junction Junction C: 53 cars through from North, 7 cars waiting. 
Time: 2m48s - Junction Junction C: 54 cars through from North, 6 cars waiting. 
Time: 2m48s - Junction Junction C: 55 cars through from North, 5 cars waiting. 
Time: 2m48s - Junction Junction C: 56 cars through from North, 4 cars waiting. 
Time: 2m48s - Junction Junction C: 57 cars through from North, 3 cars waiting. 
Time: 2m49s - Junction Junction C: 58 cars through from North, 2 cars waiting. 
Time: 2m49s - Junction Junction C: 59 cars through from North, 1 cars waiting. 
Time: 2m49s - Junction Junction C: 60 cars through from North, 0 cars waiting. 
Time: 2m58s - Junction Junction C: 1 cars through from South, 59 cars waiting. 
Time: 2m58s - Junction Junction C: 2 cars through from South, 58 cars waiting. 
Time: 2m59s - Junction Junction C: 3 cars through from South, 57 cars waiting. 
Time: 2m59s - Junction Junction C: 4 cars through from South, 56 cars waiting. 
Time: 2m59s - Junction Junction C: 5 cars through from South, 55 cars waiting. 
Time: 2m59s - Junction Junction C: 6 cars through from South, 54 cars waiting. 
Time: 2m59s - Junction Junction C: 7 cars through from South, 53 cars waiting. 
Time: 3m0s - Junction Junction C: 8 cars through from South, 52 cars waiting. 
Time: 3m0s - Junction Junction C: 9 cars through from South, 51 cars waiting. 
Time: 3m0s - Junction Junction C: 10 cars through from South, 50 cars waiting. 
Time: 3m0s - Junction Junction C: 11 cars through from South, 49 cars waiting. 
Time: 3m1s - Junction Junction C: 12 cars through from South, 48 cars waiting. 
Time: 3m1s - Junction Junction C: 13 cars through from South, 47 cars waiting. 
Time: 3m1s - Junction Junction C: 14 cars through from South, 46 cars waiting. 
Time: 3m2s - Junction Junction C: 15 cars through from South, 45 cars waiting. 
Time: 3m2s - Junction Junction C: 16 cars through from South, 44 cars waiting. 
Time: 3m2s - Junction Junction C: 17 cars through from South, 43 cars waiting. 
Time: 3m2s - Junction Junction C: 18 cars through from South, 42 cars waiting. 
Time: 3m3s - Junction Junction C: 19 cars through from South, 41 cars waiting. 
Time: 3m3s - Junction Junction C: 20 cars through from South, 40 cars waiting. 
Time: 3m3s - Junction Junction C: 21 cars through from South, 39 cars waiting. 
Time: 3m4s - Junction Junction C: 22 cars through from South, 38 cars waiting. 
Time: 3m4s - Junction Junction C: 23 cars through from South, 37 cars waiting. 
Time: 3m4s - Junction Junction C: 24 cars through from South, 36 cars waiting. 
Time: 3m4s - Junction Junction C: 25 cars through from South, 35 cars waiting. 
Time: 3m5s - Junction Junction C: 26 cars through from South, 34 cars waiting. 
Time: 3m5s - Junction Junction C: 27 cars through from South, 33 cars waiting. 
Time: 3m5s - Junction Junction C: 28 cars through from South, 32 cars waiting. 
Time: 3m6s - Junction Junction C: 29 cars through from South, 31 cars waiting. 
Time: 3m6s - Junction Junction C: 30 cars through from South, 30 cars waiting. 
Time: 3m6s - Junction Junction C: 31 cars through from South, 29 cars waiting. 
Time: 3m7s - Junction Junction C: 32 cars through from South, 28 cars waiting. 
Time: 3m7s - Junction Junction C: 33 cars through from South, 27 cars waiting. 
Time: 3m7s - Junction Junction C: 34 cars through from South, 26 cars waiting. 
Time: 3m7s - Junction Junction C: 35 cars through from South, 25 cars waiting. 
Time: 3m8s - Junction Junction C: 36 cars through from South, 24 cars waiting. 
Time: 3m8s - Junction Junction C: 37 cars through from South, 23 cars waiting. 
Time: 3m8s - Junction Junction C: 38 cars through from South, 22 cars waiting. 
Time: 3m9s - Junction Junction C: 39 cars through from South, 21 cars waiting. 
Time: 3m9s - Junction Junction C: 40 cars through from South, 20 cars waiting. 
Time: 3m9s - Junction Junction C: 41 cars through from South, 19 cars waiting. 
Time: 3m9s - Junction Junction C: 42 cars through from South, 18 cars waiting. 
Time: 3m9s - Junction Junction C: 43 cars through from South, 17 cars waiting. 
Time: 3m10s - Junction Junction C: 44 cars through from South, 16 cars waiting. 
Time: 3m10s - Junction Junction C: 45 cars through from South, 15 cars waiting. 
Time: 3m10s - Junction Junction C: 46 cars through from South, 14 cars waiting. 
Time: 3m10s - Junction Junction C: 47 cars through from South, 13 cars waiting. 
Time: 3m10s - Junction Junction C: 48 cars through from South, 12 cars waiting. 
Time: 3m11s - Junction Junction C: 49 cars through from South, 11 cars waiting. 
Time: 3m11s - Junction Junction C: 50 cars through from South, 10 cars waiting. 
Time: 3m11s - Junction Junction C: 51 cars through from South, 9 cars waiting. 
Time: 3m11s - Junction Junction C: 52 cars through from South, 8 cars waiting. 
Time: 3m11s - Junction Junction C: 53 cars through from South, 7 cars waiting. 
Time: 3m12s - Junction Junction C: 54 cars through from South, 6 cars waiting. 
Time: 3m12s - Junction Junction C: 55 cars through from South, 5 cars waiting. 
Time: 3m12s - Junction Junction C: 56 cars through from South, 4 cars waiting. 
Time: 3m12s - Junction Junction C: 57 cars through from South, 3 cars waiting. 
Time: 3m12s - Junction Junction C: 58 cars through from South, 2 cars waiting. 
Time: 3m13s - Junction Junction C: 59 cars through from South, 1 cars waiting. 
Time: 3m13s - Junction Junction C: 60 cars through from South, 0 cars waiting. 
Time: 3m22s - Junction Junction C: 1 cars through from North, 59 cars waiting. 
Time: 3m22s - Junction Junction C: 2 cars through from North, 58 cars waiting. 
Time: 3m22s - Junction Junction C: 3 cars through from North, 57 cars waiting. 
Time: 3m23s - Junction Junction C: 4 cars through from North, 56 cars waiting. 
Time: 3m23s - Junction Junction C: 5 cars through from North, 55 cars waiting. 
Time: 3m23s - Junction Junction C: 6 cars through from North, 54 cars waiting. 
Time: 3m23s - Junction Junction C: 7 cars through from North, 53 cars waiting. 
Time: 3m23s - Junction Junction C: 8 cars through from North, 52 cars waiting. 
Time: 3m24s - Junction Junction C: 9 cars through from North, 51 cars waiting. 
Time: 3m24s - Junction Junction C: 10 cars through from North, 50 cars waiting. 
Time: 3m24s - Junction Junction C: 11 cars through from North, 49 cars waiting. 
Time: 3m24s - Junction Junction C: 12 cars through from North, 48 cars waiting. 
Time: 3m25s - Junction Junction C: 13 cars through from North, 47 cars waiting. 
Time: 3m25s - Junction Junction C: 14 cars through from North, 46 cars waiting. 
Time: 3m25s - Junction Junction C: 15 cars through from North, 45 cars waiting. 
Time: 3m26s - Junction Junction C: 16 cars through from North, 44 cars waiting. 
Time: 3m26s - Junction Junction C: 17 cars through from North, 43 cars waiting. 
Time: 3m26s - Junction Junction C: 18 cars through from North, 42 cars waiting. 
Time: 3m27s - Junction Junction C: 19 cars through from North, 41 cars waiting. 
Time: 3m27s - Junction Junction C: 20 cars through from North, 40 cars waiting. 
Time: 3m27s - Junction Junction C: 21 cars through from North, 39 cars waiting. 
Time: 3m27s - Junction Junction C: 22 cars through from North, 38 cars waiting. 
Time: 3m28s - Junction Junction C: 23 cars through from North, 37 cars waiting. 
Time: 3m28s - Junction Junction C: 24 cars through from North, 36 cars waiting. 
Time: 3m28s - Junction Junction C: 25 cars through from North, 35 cars waiting. 
Time: 3m29s - Junction Junction C: 26 cars through from North, 34 cars waiting. 
Time: 3m29s - Junction Junction C: 27 cars through from North, 33 cars waiting. 
Time: 3m29s - Junction Junction C: 28 cars through from North, 32 cars waiting. 
Time: 3m30s - Junction Junction C: 29 cars through from North, 31 cars waiting. 
Time: 3m30s - Junction Junction C: 30 cars through from North, 30 cars waiting. 
Time: 3m30s - Junction Junction C: 31 cars through from North, 29 cars waiting. 
Time: 3m31s - Junction Junction C: 32 cars through from North, 28 cars waiting. 
Time: 3m31s - Junction Junction C: 33 cars through from North, 27 cars waiting. 
Time: 3m31s - Junction Junction C: 34 cars through from North, 26 cars waiting. 
Time: 3m31s - Junction Junction C: 35 cars through from North, 25 cars waiting. 
Time: 3m32s - Junction Junction C: 36 cars through from North, 24 cars waiting. 
Time: 3m32s - Junction Junction C: 37 cars through from North, 23 cars waiting. 
Time: 3m32s - Junction Junction C: 38 cars through from North, 22 cars waiting. 
Time: 3m32s - Junction Junction C: 39 cars through from North, 21 cars waiting. 
Time: 3m33s - Junction Junction C: 40 cars through from North, 20 cars waiting. 
Time: 3m33s - Junction Junction C: 41 cars through from North, 19 cars waiting. 
Time: 3m33s - Junction Junction C: 42 cars through from North, 18 cars waiting. 
Time: 3m33s - Junction Junction C: 43 cars through from North, 17 cars waiting. 
Time: 3m33s - Junction Junction C: 44 cars through from North, 16 cars waiting. 
Time: 3m34s - Junction Junction C: 45 cars through from North, 15 cars waiting. 
Time: 3m34s - Junction Junction C: 46 cars through from North, 14 cars waiting. 
Time: 3m34s - Junction Junction C: 47 cars through from North, 13 cars waiting. 
Time: 3m34s - Junction Junction C: 48 cars through from North, 12 cars waiting. 
Time: 3m34s - Junction Junction C: 49 cars through from North, 11 cars waiting. 
Time: 3m35s - Junction Junction C: 50 cars through from North, 10 cars waiting. 
Time: 3m35s - Junction Junction C: 51 cars through from North, 9 cars waiting. 
Time: 3m35s - Junction Junction C: 52 cars through from North, 8 cars waiting. 
Time: 3m35s - Junction Junction C: 53 cars through from North, 7 cars waiting. 
Time: 3m35s - Junction Junction C: 54 cars through from North, 6 cars waiting. 
Time: 3m36s - Junction Junction C: 55 cars through from North, 5 cars waiting. 
Time: 3m36s - Junction Junction C: 56 cars through from North, 4 cars waiting. 
Time: 3m36s - Junction Junction C: 57 cars through from North, 3 cars waiting. 
Time: 3m36s - Junction Junction C: 58 cars through from North, 2 cars waiting. 
Time: 3m36s - Junction Junction C: 59 cars through from North, 1 cars waiting. 
Time: 3m37s - Junction Junction C: 60 cars through from North, 0 cars waiting. 
Time: 3m46s - Junction Junction C: 1 cars through from South, 59 cars waiting. 
Time: 3m46s - Junction Junction C: 2 cars through from South, 58 cars waiting. 
Time: 3m46s - Junction Junction C: 3 cars through from South, 57 cars waiting. 
Time: 3m47s - Junction Junction C: 4 cars through from South, 56 cars waiting. 
Time: 3m47s - Junction Junction C: 5 cars through from South, 55 cars waiting. 
Time: 3m47s - Junction Junction C: 6 cars through from South, 54 cars waiting. 
Time: 3m47s - Junction Junction C: 7 cars through from South, 53 cars waiting. 
Time: 3m47s - Junction Junction C: 8 cars through from South, 52 cars waiting. 
Time: 3m48s - Junction Junction C: 9 cars through from South, 51 cars waiting. 
Time: 3m48s - Junction Junction C: 10 cars through from South, 50 cars waiting. 
Time: 3m48s - Junction Junction C: 11 cars through from South, 49 cars waiting. 
Time: 3m49s - Junction Junction C: 12 cars through from South, 48 cars waiting. 
Time: 3m49s - Junction Junction C: 13 cars through from South, 47 cars waiting. 
Time: 3m49s - Junction Junction C: 14 cars through from South, 46 cars waiting. 
Time: 3m49s - Junction Junction C: 15 cars through from South, 45 cars waiting. 
Time: 3m50s - Junction Junction C: 16 cars through from South, 44 cars waiting. 
Time: 3m50s - Junction Junction C: 17 cars through from South, 43 cars waiting. 
Time: 3m50s - Junction Junction C: 18 cars through from South, 42 cars waiting. 
Time: 3m51s - Junction Junction C: 19 cars through from South, 41 cars waiting. 
Time: 3m51s - Junction Junction C: 20 cars through from South, 40 cars waiting. 
Time: 3m51s - Junction Junction C: 21 cars through from South, 39 cars waiting. 
Time: 3m52s - Junction Junction C: 22 cars through from South, 38 cars waiting. 
Time: 3m52s - Junction Junction C: 23 cars through from South, 37 cars waiting. 
Time: 3m52s - Junction Junction C: 24 cars through from South, 36 cars waiting. 
Time: 3m52s - Junction Junction C: 25 cars through from South, 35 cars waiting. 
Time: 3m53s - Junction Junction C: 26 cars through from South, 34 cars waiting. 
Time: 3m53s - Junction Junction C: 27 cars through from South, 33 cars waiting. 
Time: 3m53s - Junction Junction C: 28 cars through from South, 32 cars waiting. 
Time: 3m54s - Junction Junction C: 29 cars through from South, 31 cars waiting. 
Time: 3m54s - Junction Junction C: 30 cars through from South, 30 cars waiting. 
Time: 3m54s - Junction Junction C: 31 cars through from South, 29 cars waiting. 
Time: 3m55s - Junction Junction C: 32 cars through from South, 28 cars waiting. 
Time: 3m55s - Junction Junction C: 33 cars through from South, 27 cars waiting. 
Time: 3m55s - Junction Junction C: 34 cars through from South, 26 cars waiting. 
Time: 3m55s - Junction Junction C: 35 cars through from South, 25 cars waiting. 
Time: 3m56s - Junction Junction C: 36 cars through from South, 24 cars waiting. 
Time: 3m56s - Junction Junction C: 37 cars through from South, 23 cars waiting. 
Time: 3m56s - Junction Junction C: 38 cars through from South, 22 cars waiting. 
Time: 3m57s - Junction Junction C: 39 cars through from South, 21 cars waiting. 
Time: 3m57s - Junction Junction C: 40 cars through from South, 20 cars waiting. 
Time: 3m57s - Junction Junction C: 41 cars through from South, 19 cars waiting. 
Time: 3m57s - Junction Junction C: 42 cars through from South, 18 cars waiting. 
Time: 3m57s - Junction Junction C: 43 cars through from South, 17 cars waiting. 
Time: 3m58s - Junction Junction C: 44 cars through from South, 16 cars waiting. 
Time: 3m58s - Junction Junction C: 45 cars through from South, 15 cars waiting. 
Time: 3m58s - Junction Junction C: 46 cars through from South, 14 cars waiting. 
Time: 3m58s - Junction Junction C: 47 cars through from South, 13 cars waiting. 
Time: 3m58s - Junction Junction C: 48 cars through from South, 12 cars waiting. 
Time: 3m59s - Junction Junction C: 49 cars through from South, 11 cars waiting. 
Time: 3m59s - Junction Junction C: 50 cars through from South, 10 cars waiting. 
Time: 3m59s - Junction Junction C: 51 cars through from South, 9 cars waiting. 
Time: 3m59s - Junction Junction C: 52 cars through from South, 8 cars waiting. 
Time: 3m59s - Junction Junction C: 53 cars through from South, 7 cars waiting. 
Time: 4m0s - Junction Junction C: 54 cars through from South, 6 cars waiting. 
Time: 4m0s - Junction Junction C: 55 cars through from South, 5 cars waiting. 
Time: 4m0s - Junction Junction C: 56 cars through from South, 4 cars waiting. 
Time: 4m0s - Junction Junction C: 57 cars through from South, 3 cars waiting. 
Time: 4m0s - Junction Junction C: 58 cars through from South, 2 cars waiting. 
Time: 4m1s - Junction Junction C: 59 cars through from South, 1 cars waiting. 
Time: 4m1s - Junction Junction C: 60 cars through from South, 0 cars waiting. 
Time: 4m10s - Junction Junction C: 1 cars through from North, 59 cars waiting. 
Time: 4m10s - Junction Junction C: 2 cars through from North, 58 cars waiting. 
Time: 4m10s - Junction Junction C: 3 cars through from North, 57 cars waiting. 
Time: 4m11s - Junction Junction C: 4 cars through from North, 56 cars waiting. 
Time: 4m11s - Junction Junction C: 5 cars through from North, 55 cars waiting. 
Time: 4m11s - Junction Junction C: 6 cars through from North, 54 cars waiting. 
Time: 4m11s - Junction Junction C: 7 cars through from North, 53 cars waiting. 
Time: 4m11s - Junction Junction C: 8 cars through from North, 52 cars waiting. 
Time: 4m12s - Junction Junction C: 9 cars through from North, 51 cars waiting. 
Time: 4m12s - Junction Junction C: 10 cars through from North, 50 cars waiting. 
Time: 4m12s - Junction Junction C: 11 cars through from North, 49 cars waiting. 
Time: 4m13s - Junction Junction C: 12 cars through from North, 48 cars waiting. 
Time: 4m13s - Junction Junction C: 13 cars through from North, 47 cars waiting. 
Time: 4m13s - Junction Junction C: 14 cars through from North, 46 cars waiting. 
Time: 4m13s - Junction Junction C: 15 cars through from North, 45 cars waiting. 
Time: 4m14s - Junction Junction C: 16 cars through from North, 44 cars waiting. 
Time: 4m14s - Junction Junction C: 17 cars through from North, 43 cars waiting. 
Time: 4m14s - Junction Junction C: 18 cars through from North, 42 cars waiting. 
Time: 4m15s - Junction Junction C: 19 cars through from North, 41 cars waiting. 
Time: 4m15s - Junction Junction C: 20 cars through from North, 40 cars waiting. 
Time: 4m15s - Junction Junction C: 21 cars through from North, 39 cars waiting. 
Time: 4m16s - Junction Junction C: 22 cars through from North, 38 cars waiting. 
Time: 4m16s - Junction Junction C: 23 cars through from North, 37 cars waiting. 
Time: 4m16s - Junction Junction C: 24 cars through from North, 36 cars waiting. 
Time: 4m16s - Junction Junction C: 25 cars through from North, 35 cars waiting. 
Time: 4m17s - Junction Junction C: 26 cars through from North, 34 cars waiting. 
Time: 4m17s - Junction Junction C: 27 cars through from North, 33 cars waiting. 
Time: 4m17s - Junction Junction C: 28 cars through from North, 32 cars waiting. 
Time: 4m18s - Junction Junction C: 29 cars through from North, 31 cars waiting. 
Time: 4m18s - Junction Junction C: 30 cars through from North, 30 cars waiting. 
Time: 4m18s - Junction Junction C: 31 cars through from North, 29 cars waiting. 
Time: 4m19s - Junction Junction C: 32 cars through from North, 28 cars waiting. 
Time: 4m19s - Junction Junction C: 33 cars through from North, 27 cars waiting. 
Time: 4m19s - Junction Junction C: 34 cars through from North, 26 cars waiting. 
Time: 4m19s - Junction Junction C: 35 cars through from North, 25 cars waiting. 
Time: 4m20s - Junction Junction C: 36 cars through from North, 24 cars waiting. 
Time: 4m20s - Junction Junction C: 37 cars through from North, 23 cars waiting. 
Time: 4m20s - Junction Junction C: 38 cars through from North, 22 cars waiting. 
Time: 4m21s - Junction Junction C: 39 cars through from North, 21 cars waiting. 
Time: 4m21s - Junction Junction C: 40 cars through from North, 20 cars waiting. 
Time: 4m21s - Junction Junction C: 41 cars through from North, 19 cars waiting. 
Time: 4m21s - Junction Junction C: 42 cars through from North, 18 cars waiting. 
Time: 4m21s - Junction Junction C: 43 cars through from North, 17 cars waiting. 
Time: 4m22s - Junction Junction C: 44 cars through from North, 16 cars waiting. 
Time: 4m22s - Junction Junction C: 45 cars through from North, 15 cars waiting. 
Time: 4m22s - Junction Junction C: 46 cars through from North, 14 cars waiting. 
Time: 4m22s - Junction Junction C: 47 cars through from North, 13 cars waiting. 
Time: 4m22s - Junction Junction C: 48 cars through from North, 12 cars waiting. 
Time: 4m23s - Junction Junction C: 49 cars through from North, 11 cars waiting. 
Time: 4m23s - Junction Junction C: 50 cars through from North, 10 cars waiting. 
Time: 4m23s - Junction Junction C: 51 cars through from North, 9 cars waiting. 
Time: 4m23s - Junction Junction C: 52 cars through from North, 8 cars waiting. 
Time: 4m23s - Junction Junction C: 53 cars through from North, 7 cars waiting. 
Time: 4m24s - Junction Junction C: 54 cars through from North, 6 cars waiting. 
Time: 4m24s - Junction Junction C: 55 cars through from North, 5 cars waiting. 
Time: 4m24s - Junction Junction C: 56 cars through from North, 4 cars waiting. 
Time: 4m24s - Junction Junction C: 57 cars through from North, 3 cars waiting. 
Time: 4m24s - Junction Junction C: 58 cars through from North, 2 cars waiting. 
Time: 4m25s - Junction Junction C: 59 cars through from North, 1 cars waiting. 
Time: 4m25s - Junction Junction C: 60 cars through from North, 0 cars waiting. 
Time: 4m34s - Junction Junction C: 1 cars through from South, 59 cars waiting. 
Time: 4m34s - Junction Junction C: 2 cars through from South, 58 cars waiting. 
Time: 4m34s - Junction Junction C: 3 cars through from South, 57 cars waiting. 
Time: 4m35s - Junction Junction C: 4 cars through from South, 56 cars waiting. 
Time: 4m35s - Junction Junction C: 5 cars through from South, 55 cars waiting. 
Time: 4m35s - Junction Junction C: 6 cars through from South, 54 cars waiting. 
Time: 4m35s - Junction Junction C: 7 cars through from South, 53 cars waiting. 
Time: 4m35s - Junction Junction C: 8 cars through from South, 52 cars waiting. 
Time: 4m36s - Junction Junction C: 9 cars through from South, 51 cars waiting. 
Time: 4m36s - Junction Junction C: 10 cars through from South, 50 cars waiting. 
Time: 4m36s - Junction Junction C: 11 cars through from South, 49 cars waiting. 
Time: 4m37s - Junction Junction C: 12 cars through from South, 48 cars waiting. 
Time: 4m37s - Junction Junction C: 13 cars through from South, 47 cars waiting. 
Time: 4m37s - Junction Junction C: 14 cars through from South, 46 cars waiting. 
Time: 4m37s - Junction Junction C: 15 cars through from South, 45 cars waiting. 
Time: 4m38s - Junction Junction C: 16 cars through from South, 44 cars waiting. 
Time: 4m38s - Junction Junction C: 17 cars through from South, 43 cars waiting. 
Time: 4m38s - Junction Junction C: 18 cars through from South, 42 cars waiting. 
Time: 4m39s - Junction Junction C: 19 cars through from South, 41 cars waiting. 
Time: 4m39s - Junction Junction C: 20 cars through from South, 40 cars waiting. 
Time: 4m39s - Junction Junction C: 21 cars through from South, 39 cars waiting. 
Time: 4m39s - Junction Junction C: 22 cars through from South, 38 cars waiting. 
Time: 4m40s - Junction Junction C: 23 cars through from South, 37 cars waiting. 
Time: 4m40s - Junction Junction C: 24 cars through from South, 36 cars waiting. 
Time: 4m40s - Junction Junction C: 25 cars through from South, 35 cars waiting. 
Time: 4m40s - Junction Junction C: 26 cars through from South, 34 cars waiting. 
Time: 4m41s - Junction Junction C: 27 cars through from South, 33 cars waiting. 
Time: 4m41s - Junction Junction C: 28 cars through from South, 32 cars waiting. 
Time: 4m41s - Junction Junction C: 29 cars through from South, 31 cars waiting. 
Time: 4m41s - Junction Junction C: 30 cars through from South, 30 cars waiting. 
Time: 4m42s - Junction Junction C: 31 cars through from South, 29 cars waiting. 
Time: 4m42s - Junction Junction C: 32 cars through from South, 28 cars waiting. 
Time: 4m42s - Junction Junction C: 33 cars through from South, 27 cars waiting. 
Time: 4m43s - Junction Junction C: 34 cars through from South, 26 cars waiting. 
Time: 4m43s - Junction Junction C: 35 cars through from South, 25 cars waiting. 
Time: 4m43s - Junction Junction C: 36 cars through from South, 24 cars waiting. 
Time: 4m44s - Junction Junction C: 37 cars through from South, 23 cars waiting. 
Time: 4m44s - Junction Junction C: 38 cars through from South, 22 cars waiting. 
Time: 4m44s - Junction Junction C: 39 cars through from South, 21 cars waiting. 
Time: 4m44s - Junction Junction C: 40 cars through from South, 20 cars waiting. 
Time: 4m44s - Junction Junction C: 41 cars through from South, 19 cars waiting. 
Time: 4m44s - Junction Junction C: 42 cars through from South, 18 cars waiting. 
Time: 4m45s - Junction Junction C: 43 cars through from South, 17 cars waiting. 
Time: 4m45s - Junction Junction C: 44 cars through from South, 16 cars waiting. 
Time: 4m45s - Junction Junction C: 45 cars through from South, 15 cars waiting. 
